,emotion,score
6252,disgust,0.8239001035690308
4684,neutral,0.8812187910079956
1731,anger,0.7483500242233276
4742,fear,0.566923201084137
4521,neutral,0.6374985575675964
6340,surprise,0.6710434556007385
576,surprise,0.5312576293945312
5202,sadness,0.9451421499252319
6363,neutral,0.9357032775878906
439,surprise,0.4121154844760895
2750,sadness,0.5738779306411743
7487,disgust,0.3248576819896698
5272,neutral,0.8080544471740723
5653,neutral,0.7808288931846619
3999,surprise,0.765569269657135
6033,neutral,0.46752309799194336
582,disgust,0.36977529525756836
9930,fear,0.6375612616539001
7051,joy,0.9167899489402771
8158,disgust,0.6912451386451721
9896,joy,0.4122116267681122
2249,disgust,0.644140899181366
4640,neutral,0.41084685921669006
9485,neutral,0.3880312740802765
4947,disgust,0.8599693775177002
9920,neutral,0.36764824390411377
1963,disgust,0.5701026320457458
8243,neutral,0.426434725522995
6590,disgust,0.6028127670288086
8847,sadness,0.8113687038421631
321,disgust,0.6530022621154785
2678,disgust,0.9315940141677856
4625,neutral,0.6228204965591431
4949,neutral,0.7069427371025085
8328,sadness,0.6335113048553467
3337,joy,0.5669793486595154
5589,neutral,0.5309980511665344
251,fear,0.7336940765380859
3973,disgust,0.8679102659225464
6630,disgust,0.6803299784660339
5547,fear,0.883234977722168
35,disgust,0.45477402210235596
8362,joy,0.5513665676116943
1513,neutral,0.6100313067436218
9317,neutral,0.9535702466964722
39,disgust,0.7255655527114868
4819,surprise,0.39138686656951904
3465,disgust,0.710623562335968
1760,neutral,0.6816572546958923
2304,joy,0.43608930706977844
3723,disgust,0.7511272430419922
8284,disgust,0.6262914538383484
4993,joy,0.9421796798706055
8127,disgust,0.7209939956665039
3032,joy,0.8259138464927673
7938,neutral,0.9146977663040161
3039,fear,0.8994026780128479
9655,neutral,0.8267333507537842
2545,disgust,0.9123607873916626
2592,sadness,0.48599106073379517
1188,neutral,0.2832987904548645
7966,disgust,0.8536427617073059
6077,disgust,0.7493161559104919
107,disgust,0.3820100724697113
1315,fear,0.8495137691497803
8187,fear,0.41787147521972656
2753,sadness,0.4239088296890259
9753,surprise,0.4465891718864441
6231,sadness,0.9468644261360168
2876,neutral,0.4803047478199005
5323,joy,0.7503596544265747
799,joy,0.5970478057861328
3570,neutral,0.6416062712669373
2894,fear,0.9525970816612244
2927,joy,0.2914382517337799
8178,neutral,0.48804640769958496
971,joy,0.6423699259757996
6687,sadness,0.8357235193252563
8575,joy,0.9715258479118347
2020,surprise,0.4999430179595947
9054,disgust,0.6637901663780212
952,neutral,0.6672883629798889
5359,surprise,0.8021970391273499
3857,joy,0.9020237326622009
5861,neutral,0.4362145960330963
3145,disgust,0.5589064359664917
3305,anger,0.5365225672721863
3006,sadness,0.8831745386123657
9001,surprise,0.9581770300865173
7770,joy,0.5048351287841797
7438,sadness,0.32313889265060425
7942,surprise,0.6550627946853638
9238,disgust,0.6841935515403748
1056,disgust,0.6491186618804932
3154,disgust,0.9438974261283875
3787,sadness,0.832003653049469
9189,joy,0.3255714476108551
7825,anger,0.85007643699646
7539,neutral,0.543787956237793
7231,disgust,0.4048968255519867
764,sadness,0.40381258726119995
5019,surprise,0.6626796722412109
4903,joy,0.7506698369979858
8093,neutral,0.7289850115776062
6843,disgust,0.6449176073074341
2165,fear,0.8033159971237183
1862,fear,0.37029799818992615
7850,sadness,0.6792640686035156
9123,sadness,0.7230591177940369
2340,fear,0.9384990930557251
5527,joy,0.9328724145889282
6743,disgust,0.9513185620307922
4003,disgust,0.5128445029258728
1123,disgust,0.8470386862754822
8709,surprise,0.8156571388244629
4049,fear,0.9815929532051086
7640,joy,0.7555794715881348
765,joy,0.8521209359169006
2344,sadness,0.666502833366394
4071,disgust,0.8852154612541199
7216,fear,0.36936044692993164
4216,joy,0.8413029313087463
7952,neutral,0.4053461253643036
5970,disgust,0.5545006394386292
3350,sadness,0.46430861949920654
4695,surprise,0.5131921172142029
3399,anger,0.5221138000488281
4081,joy,0.8964111804962158
9149,sadness,0.7853906750679016
1224,sadness,0.5368365049362183
6292,joy,0.5589083433151245
3122,joy,0.9048975110054016
510,surprise,0.851246178150177
5794,joy,0.6461492776870728
8181,neutral,0.5185490250587463
9417,fear,0.9432629346847534
96,neutral,0.5422176718711853
6681,surprise,0.5567217469215393
1512,surprise,0.9700894355773926
8791,neutral,0.4658427834510803
119,neutral,0.4912356436252594
7791,fear,0.4085269272327423
6517,disgust,0.4352167546749115
33,disgust,0.47836118936538696
7887,sadness,0.8085278868675232
